Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
392,Dara O'Shea,ie IRL,DF,Ipswich Town,25.0,1999.0,35,35,3122,34.7,0,2,2
393,Chidozie Obi-Martin,dk DEN,FW,Manchester  Utd,16.0,2007.0,7,1,165,1.8,0,0,0
394,Wilson Odobert,fr FRA,"FW,MF",Tottenham,19.0,2004.0,16,9,850,9.4,1,0,1
395,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27.0,1997.0,5,3,238,2.6,0,0,0
396,Caleb Okoli,it ITA,DF,Leicester  City,23.0,2001.0,19,12,1125,12.5,1,0,1
397,Robin Olsen,se SWE,GK,Aston Villa,34.0,1990.0,4,1,226,2.5,0,0,0
398,Amadou Onana,be BEL,MF,Aston Villa,22.0,2001.0,26,20,1617,18.0,3,0,3
399,AndrÃ© Onana,cm CMR,GK,Manchester  Utd,28.0,1996.0,34,34,3060,34.0,0,0,0
400,Paul Onuachu,ng NGA,FW,Southampton,30.0,1994.0,25,11,1050,11.7,4,1,5
401,Frank Onyeka,ng NGA,MF,Brentford,26.0,1998.0,2,0,25,0.3,0,0,0
402,Lewis Orford,eng ENG,MF,West Ham,18.0,2006.0,2,0,49,0.5,0,0,0
403,Stefan Ortega,de GER,GK,Manchester  City,31.0,1992.0,13,12,1100,12.2,0,0,0
404,William Osula,dk DEN,FW,Newcastle  Utd,20.0,2003.0,14,0,134,1.5,1,0,1
405,Dango Ouattara,bf BFA,FW,Bournemouth,22.0,2002.0,32,21,2005,22.3,7,4,11
406,Nico OâReilly,eng ENG,DF,Manchester  City,19.0,2005.0,9,6,528,5.9,2,0,2
407,Alex Palmer,eng ENG,GK,Ipswich Town,27.0,1996.0,13,13,1170,13.0,0,0,0
408,Cole Palmer,eng ENG,"MF,FW",Chelsea,22.0,2002.0,37,36,3191,35.5,15,8,23
409,Emerson Palmieri,it ITA,DF,West Ham,29.0,1994.0,31,26,2113,23.5,2,1,3
410,Lucas PaquetÃ¡,br BRA,"MF,FW",West Ham,26.0,1997.0,33,27,2380,26.4,4,0,4
411,Thomas Partey,gh GHA,"MF,DF",Arsenal,31.0,1993.0,35,31,2797,31.1,4,2,6
412,Nathan Patterson,sct SCO,DF,Everton,22.0,2001.0,10,3,347,3.9,0,1,1
413,Andreas Pereira,br BRA,MF,Fulham,28.0,1996.0,33,25,2013,22.4,2,4,6
414,Ricardo Pereira,pt POR,DF,Leicester  City,30.0,1993.0,10,4,388,4.3,0,0,0
415,Kalvin Phillips,eng ENG,MF,Ipswich Town,28.0,1995.0,19,14,1237,13.7,0,0,0
