Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1,Max Aarons,eng ENG,DF,Bournemouth,24.0,2000.0,3,1,86,1.0,0,0,0
2,Joshua Acheampong,eng ENG,DF,Chelsea,18.0,2006.0,4,2,170,1.9,0,0,0
3,Tyler Adams,us USA,MF,Bournemouth,25.0,1999.0,28,21,1965,21.8,0,3,3
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997.0,22,15,1409,15.7,1,1,2
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,2002.0,29,12,1097,12.2,2,2,4
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,16,16,1410,15.7,1,0,1
7,Asher Agbinone,eng ENG,MF,Crystal  Palace,18.0,2005.0,2,0,6,0.1,0,0,0
8,Ola Aina,ng NGA,DF,Nott'ham  Forest,27.0,1996.0,35,35,2995,33.3,2,1,3
9,Rayan AÃ¯t-Nouri,dz ALG,DF,Wolves,23.0,2001.0,37,37,3109,34.5,4,7,11
10,Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998.0,24,17,1438,16.0,0,0,0
11,Manuel Akanji,ch SUI,DF,Manchester  City,29.0,1995.0,26,23,2014,22.4,0,0,0
12,Nathan AkÃ©,nl NED,DF,Manchester  City,29.0,1995.0,10,8,678,7.5,0,0,0
13,Carlos Alcaraz,ar ARG,MF,Southampton,21.0,2002.0,1,0,10,0.1,0,0,0
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,1998.0,33,28,2365,26.3,3,6,9
16,Alisson,br BRA,GK,Liverpool,31.0,1992.0,28,28,2508,27.9,0,0,0
17,Miguel AlmirÃ³n,py PAR,FW,Newcastle  Utd,30.0,1994.0,9,1,157,1.7,0,0,0
19,Edson Ãlvarez,mx MEX,MF,West Ham,26.0,1997.0,28,20,1772,19.7,0,1,1
20,Will Alves,eng ENG,FW,Leicester  City,19.0,2005.0,1,0,1,0.0,0,0,0
21,Harry Amass,eng ENG,DF,Manchester  Utd,17.0,2007.0,5,4,346,3.8,0,0,0
22,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18.0,2006.0,2,0,28,0.3,0,0,0
23,Mathis Amougou,fr FRA,MF,Chelsea,18.0,2006.0,1,0,8,0.1,0,0,0
24,Joachim Andersen,dk DEN,DF,Crystal  Palace,28.0,1996.0,1,1,90,1.0,0,0,0
26,Elliot Anderson,eng ENG,MF,Nott'ham  Forest,21.0,2002.0,37,33,2728,30.3,2,6,8
27,AndrÃ©,br BRA,MF,Wolves,23.0,2001.0,33,31,2472,27.5,0,0,0
28,Michail Antonio,jm JAM,FW,West Ham,34.0,1990.0,14,11,836,9.3,1,1,2
29,Antony,br BRA,"DF,MF",Manchester  Utd,24.0,2000.0,8,0,141,1.6,0,0,0
30,Julian Araujo,mx MEX,DF,Bournemouth,22.0,2001.0,12,7,497,5.5,0,0,0
31,Cameron Archer,eng ENG,FW,Southampton,23.0,2001.0,35,13,1441,16.0,2,0,2
32,Alphonse Areola,fr FRA,GK,West Ham,31.0,1993.0,26,25,2260,25.1,0,0,0
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28.0,1996.0,32,21,2013,22.4,3,0,3
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,20,15,1248,13.9,2,2,4
35,Harrison Armstrong,eng ENG,MF,Everton,17.0,2007.0,3,0,48,0.5,0,0,0
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29.0,1994.0,31,31,2790,31.0,0,0,0
37,Marco Asensio,es ESP,MF,Aston Villa,28.0,1996.0,13,9,743,8.3,3,1,4
38,Brandon Austin,eng ENG,GK,Tottenham,25.0,1999.0,1,1,90,1.0,0,0,0
39,Taiwo Awoniyi,ng NGA,FW,Nott'ham  Forest,26.0,1997.0,26,3,416,4.6,1,0,1
40,Yasin Ayari,se SWE,MF,Brighton,20.0,2003.0,34,22,1965,21.8,2,1,3
41,Jordan Ayew,gh GHA,"FW,MF",Crystal  Palace,32.0,1991.0,1,0,21,0.2,0,0,0
43,BenoÃ®t Badiashile,fr FRA,DF,Chelsea,23.0,2001.0,5,3,334,3.7,0,0,0
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26.0,1997.0,24,14,1139,12.7,1,2,3
45,Carlos Baleba,cm CMR,MF,Brighton,20.0,2004.0,34,31,2661,29.6,3,1,4
46,Ross Barkley,eng ENG,MF,Aston Villa,30.0,1993.0,20,3,581,6.5,3,1,4
47,Harvey Barnes,eng ENG,FW,Newcastle  Utd,26.0,1997.0,33,17,1755,19.5,9,4,13
48,Calvin Bassey,ng NGA,DF,Fulham,24.0,1999.0,35,34,3074,34.2,1,0,1
49,Altay BayÄ±ndÄ±r,tr TUR,GK,Manchester  Utd,26.0,1998.0,4,4,360,4.0,0,0,0
50,Jan Bednarek,pl POL,DF,Southampton,28.0,1996.0,30,30,2531,28.1,2,0,2
51,Armel Bella Kotchap,de GER,DF,Southampton,22.0,2001.0,4,2,331,3.7,0,0,0
52,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26.0,1998.0,35,20,1677,18.6,2,7,9
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27.0,1997.0,26,21,1645,18.3,2,0,2
54,Daniel Bentley,eng ENG,GK,Wolves,31.0,1993.0,2,2,180,2.0,0,0,0
55,Sander Berge,no NOR,MF,Fulham,26.0,1998.0,31,26,2224,24.7,0,0,0
56,Lucas Bergvall,se SWE,MF,Tottenham,18.0,2006.0,27,11,1212,13.5,0,1,1
57,Victor Bernth Kristiansen,dk DEN,DF,Leicester  City,21.0,2002.0,30,29,2482,27.6,0,1,1
58,Beto,gw GNB,FW,Everton,26.0,1998.0,30,15,1534,17.0,8,0,8
59,Philip Billing,dk DEN,MF,Bournemouth,28.0,1996.0,10,1,184,2.0,0,0,0
60,Yves Bissouma,ml MLI,MF,Tottenham,27.0,1996.0,28,16,1408,15.6,2,0,2
61,Oscar Bobb,no NOR,FW,Manchester  City,21.0,2003.0,3,0,16,0.2,0,0,0
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20.0,2004.0,8,5,476,5.3,0,0,0
63,Willy Boly,ci CIV,DF,Nott'ham  Forest,33.0,1991.0,6,1,150,1.7,0,0,0
64,Sven Botman,nl NED,DF,Newcastle  Utd,24.0,2000.0,8,6,412,4.6,0,0,0
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27.0,1996.0,34,34,2973,33.0,13,8,21
66,Conor Bradley,nir NIR,DF,Liverpool,21.0,2003.0,19,7,754,8.4,0,2,2
67,Jarrad Branthwaite,eng ENG,DF,Everton,22.0,2002.0,30,28,2511,27.9,0,1,1
68,James Bree,eng ENG,DF,Southampton,26.0,1997.0,17,13,1075,11.9,0,1,1
69,Ben Brereton,cl CHI,FW,Southampton,25.0,1999.0,10,4,449,5.0,0,0,0
70,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26.0,1998.0,18,7,702,7.8,2,0,2
71,Armando Broja,al ALB,FW,Everton,22.0,2001.0,10,4,334,3.7,0,0,0
72,David Brooks,wls WAL,"FW,MF",Bournemouth,27.0,1997.0,29,9,960,10.7,2,0,2
73,Emi BuendÃ­a,ar ARG,"MF,FW",Aston Villa,27.0,1996.0,12,0,98,1.1,0,0,0
74,Santiago Bueno,uy URU,DF,Wolves,25.0,1998.0,29,18,1687,18.7,0,0,0
75,Facundo Buonanotte,ar ARG,"FW,MF",Leicester  City,19.0,2004.0,31,14,1523,16.9,5,2,7
76,Cameron Burgess,au AUS,DF,Ipswich Town,28.0,1995.0,18,16,1541,17.1,0,2,2
77,Dan Burn,eng ENG,DF,Newcastle  Utd,32.0,1992.0,37,37,3330,37.0,1,1,2
78,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29.0,1994.0,18,12,926,10.3,0,1,1
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21.0,2003.0,1,0,7,0.1,0,0,0
80,MoisÃ©s Caicedo,ec ECU,"MF,DF",Chelsea,22.0,2001.0,38,38,3351,37.2,1,2,3
81,Tom Cairney,sct SCO,MF,Fulham,33.0,1991.0,25,3,628,7.0,2,0,2
82,Jens Cajuste,se SWE,MF,Ipswich Town,24.0,1999.0,30,25,1959,21.8,1,1,2
83,Riccardo Calafiori,it ITA,DF,Arsenal,22.0,2002.0,19,11,983,10.9,2,1,3
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27.0,1997.0,26,19,1609,17.9,3,1,4
85,Diego Carlos,br BRA,DF,Aston Villa,31.0,1993.0,10,8,830,9.2,0,0,0
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21.0,2002.0,19,3,455,5.1,2,1,3
87,Casemiro,br BRA,MF,Manchester  Utd,32.0,1992.0,24,18,1494,16.6,1,0,1
88,Kaelan Casey,eng ENG,DF,West Ham,19.0,2004.0,1,0,1,0.0,0,0,0
89,Matty Cash,pl POL,DF,Aston Villa,26.0,1997.0,27,24,2070,23.0,1,1,2
90,Eiran Cashin,ie IRL,DF,Brighton,22.0,2001.0,2,0,20,0.2,0,0,0
91,Timothy Castagne,be BEL,DF,Fulham,28.0,1995.0,24,17,1649,18.3,0,1,1
92,Trevoh Chalobah,eng ENG,DF,Crystal  Palace,25.0,1999.0,12,12,1060,11.8,3,0,3
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27.0,1997.0,22,10,857,9.5,1,1,2
95,Youssef Chermiti,pt POR,"FW,MF",Everton,20.0,2004.0,4,0,45,0.5,0,0,0
96,Federico Chiesa,it ITA,FW,Liverpool,26.0,1997.0,6,1,108,1.2,0,0,0
97,Ben Chilwell,eng ENG,DF,Crystal  Palace,27.0,1996.0,8,1,259,2.9,1,0,1
98,Chiquinho,pt POR,MF,Wolves,24.0,2000.0,1,0,7,0.1,0,0,0
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester  City,26.0,1997.0,4,1,131,1.5,0,0,0
100,Ryan Christie,sct SCO,MF,Bournemouth,29.0,1995.0,29,27,2117,23.5,2,3,5
101,Harry Clarke,eng ENG,DF,Ipswich Town,23.0,2001.0,7,4,379,4.2,0,0,0
102,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23.0,2000.0,32,12,1181,13.1,0,4,4
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal  Palace,33.0,1991.0,13,5,483,5.4,0,0,0
104,Conor Coady,eng ENG,DF,Leicester  City,31.0,1993.0,22,19,1714,19.0,1,0,1
105,SÃ©amus Coleman,ie IRL,DF,Everton,35.0,1988.0,5,3,215,2.4,0,0,0
106,Nathan Collins,ie IRL,DF,Brentford,23.0,2001.0,38,38,3420,38.0,2,3,5
107,Toby Collyer,eng ENG,MF,Manchester  Utd,20.0,2004.0,6,0,179,2.0,0,0,0
108,Levi Colwill,eng ENG,DF,Chelsea,21.0,2003.0,35,35,3149,35.0,2,1,3
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27.0,1997.0,36,32,2978,33.1,1,3,4
110,Maxwel Cornet,ci CIV,FW,Southampton,27.0,1996.0,2,1,72,0.8,0,0,0
111,VladimÃ­r Coufal,cz CZE,DF,West Ham,31.0,1992.0,22,11,1067,11.9,0,0,0
112,Woyo Coulibaly,ml MLI,DF,Leicester  City,25.0,1999.0,4,1,109,1.2,0,0,0
113,Aaron Cresswell,eng ENG,DF,West Ham,34.0,1989.0,18,10,824,9.2,0,0,0
114,Marc Cucurella,es ESP,DF,Chelsea,26.0,1998.0,36,33,2988,33.2,5,1,6
115,Jorge Cuenca,es ESP,DF,Fulham,24.0,1999.0,8,4,351,3.9,0,0,0
116,Matheus Cunha,br BRA,"MF,FW",Wolves,25.0,1999.0,33,29,2597,28.9,15,6,21
117,Patson Daka,zm ZAM,"FW,MF",Leicester  City,25.0,1998.0,23,6,736,8.2,1,0,1
118,Diogo Dalot,pt POR,DF,Manchester  Utd,25.0,1999.0,33,31,2814,31.3,0,3,3
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24.0,2000.0,38,34,2911,32.3,2,10,12
120,Danilo,br BRA,"MF,FW",Nott'ham  Forest,23.0,2001.0,8,5,275,3.1,0,0,0
121,Jayden Danns,eng ENG,MF,Liverpool,18.0,2006.0,1,0,11,0.1,0,0,0
122,Kevin Danso,at AUT,DF,Tottenham,25.0,1998.0,10,9,842,9.4,0,0,0
123,Ben Davies,wls WAL,DF,Tottenham,31.0,1993.0,17,14,1331,14.8,0,0,0
124,Leif Davis,eng ENG,DF,Ipswich Town,24.0,2000.0,33,32,2743,30.5,1,2,3
125,Craig Dawson,eng ENG,DF,Wolves,34.0,1990.0,15,10,971,10.8,0,0,0
126,Kevin De Bruyne,be BEL,"MF,FW",Manchester  City,33.0,1991.0,28,19,1702,18.9,4,7,11
127,Bobby De Cordova-Reid,jm JAM,FW,Leicester  City,31.0,1993.0,23,9,744,8.3,1,2,3
128,Liam Delap,eng ENG,FW,Ipswich Town,21.0,2003.0,37,32,2593,28.8,12,2,14
129,Sepp van den Berg,nl NED,DF,Brentford,22.0,2001.0,31,29,2586,28.7,0,0,0
130,Justin Devenny,nir NIR,MF,Crystal  Palace,20.0,2003.0,23,4,507,5.6,1,1,2
131,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25.0,1998.0,13,2,264,2.9,0,1,1
132,Amad Diallo,ci CIV,"MF,FW",Manchester  Utd,22.0,2002.0,26,20,1901,21.1,8,6,14
133,RÃºben Dias,pt POR,DF,Manchester  City,27.0,1997.0,27,25,2271,25.2,0,0,0
134,Luis DÃ­az,co COL,FW,Liverpool,27.0,1997.0,36,28,2399,26.7,13,5,18
135,Tyler Dibling,eng ENG,"FW,MF",Southampton,18.0,2006.0,33,20,1874,20.8,2,0,2
136,Lucas Digne,fr FRA,DF,Aston Villa,31.0,1993.0,32,28,2351,26.1,0,4,4
137,Issa Diop,fr FRA,DF,Fulham,27.0,1997.0,21,15,1339,14.9,0,0,0
138,Axel Disasi,fr FRA,DF,Aston Villa,26.0,1998.0,7,5,490,5.4,0,0,0
140,Roman Dixon,eng ENG,DF,Everton,19.0,2004.0,1,1,90,1.0,0,0,0
141,Nasser Djiga,bf BFA,DF,Wolves,21.0,2002.0,5,1,66,0.7,0,0,0
142,Matt Doherty,ie IRL,DF,Wolves,32.0,1992.0,30,25,2109,23.4,2,1,3
143,Jeremy Doku,be BEL,"FW,MF",Manchester  City,22.0,2002.0,29,16,1516,16.8,3,6,9
144,NicolÃ¡s DomÃ­nguez,ar ARG,"MF,FW",Nott'ham  Forest,26.0,1998.0,34,23,1963,21.8,0,1,1
145,Patrick Dorgu,dk DEN,DF,Manchester  Utd,19.0,2004.0,12,10,842,9.4,0,0,0
146,Alfie Dorrington,eng ENG,DF,Tottenham,19.0,2005.0,1,0,14,0.2,0,0,0
147,Abdoulaye DoucourÃ©,ml MLI,MF,Everton,31.0,1993.0,33,31,2564,28.5,3,2,5
148,Cheick DoucourÃ©,ml MLI,MF,Crystal  Palace,24.0,2000.0,13,4,452,5.0,0,0,0
149,Flynn Downes,eng ENG,MF,Southampton,25.0,1999.0,27,25,2151,23.9,1,0,1
150,Tommy Doyle,eng ENG,MF,Wolves,22.0,2001.0,24,3,488,5.4,0,1,1
151,Radu DrÄguÈin,ro ROU,DF,Tottenham,22.0,2002.0,16,14,1252,13.9,0,0,0
152,Martin DÃºbravka,sk SVK,GK,Newcastle  Utd,35.0,1989.0,10,10,900,10.0,0,0,0
153,Lewis Dunk,eng ENG,DF,Brighton,32.0,1991.0,25,23,2083,23.1,0,0,0
154,JÃ¡der DurÃ¡n,co COL,FW,Aston Villa,20.0,2003.0,20,4,638,7.1,7,0,7
155,Claudio Echeverri,ar ARG,FW,Manchester  City,18.0,2006.0,1,0,6,0.1,0,0,0
156,Ederson,br BRA,GK,Manchester  City,30.0,1993.0,26,26,2320,25.8,0,4,4
157,George Edmundson,eng ENG,DF,Ipswich Town,26.0,1997.0,1,0,2,0.0,0,0,0
158,Odsonne Ãdouard,fr FRA,"MF,FW",Crystal  Palace,26.0,1998.0,2,1,115,1.3,0,0,0
160,Samuel Edozie,eng ENG,"DF,FW",Southampton,21.0,2003.0,2,0,65,0.7,0,0,0
161,Ronnie Edwards,eng ENG,DF,Southampton,21.0,2003.0,1,0,12,0.1,0,0,0
162,Anthony Elanga,se SWE,"FW,MF",Nott'ham  Forest,22.0,2002.0,38,31,2501,27.8,6,11,17
163,Harvey Elliott,eng ENG,MF,Liverpool,21.0,2003.0,18,2,371,4.1,1,2,3
164,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18.0,2006.0,10,0,42,0.5,0,0,0
165,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20.0,2004.0,13,12,869,9.7,2,3,5
167,Wataru Endo,jp JPN,"MF,DF",Liverpool,31.0,1993.0,20,1,273,3.0,0,0,0
168,Christian Eriksen,dk DEN,MF,Manchester  Utd,32.0,1992.0,23,11,1061,11.8,1,2,3
169,Romain Esse,eng ENG,MF,Crystal  Palace,19.0,2005.0,7,1,138,1.5,1,1,2
170,Pervis EstupiÃ±Ã¡n,ec ECU,DF,Brighton,26.0,1998.0,30,26,2402,26.7,1,1,2
171,Evanilson,br BRA,FW,Bournemouth,24.0,1999.0,31,28,2319,25.8,10,1,11
173,Jonny Evans,nir NIR,DF,Manchester  Utd,36.0,1988.0,7,3,315,3.5,0,0,0
174,Eberechi Eze,eng ENG,"MF,FW",Crystal  Palace,26.0,1998.0,34,31,2588,28.8,8,8,16
175,Åukasz FabiaÅski,pl POL,GK,West Ham,39.0,1985.0,14,13,1160,12.9,0,0,0
176,Wout Faes,be BEL,DF,Leicester  City,26.0,1998.0,34,30,2815,31.3,1,0,1
177,Abdul Fatawu Issahaku,gh GHA,FW,Leicester  City,20.0,2004.0,11,6,579,6.4,0,2,2
178,JoÃ£o FÃ©lix,pt POR,"FW,MF",Chelsea,24.0,1999.0,12,3,369,4.1,1,1,2
179,Evan Ferguson,ie IRL,FW,West Ham,19.0,2004.0,8,1,156,1.7,0,0,0
181,Bruno Fernandes,pt POR,MF,Manchester  Utd,29.0,1994.0,36,35,3018,33.5,8,10,18
182,Mateus Fernandes,pt POR,MF,Southampton,20.0,2004.0,36,34,2909,32.3,2,4,6
183,Enzo FernÃ¡ndez,ar ARG,MF,Chelsea,23.0,2001.0,36,32,2947,32.7,6,7,13
184,Mark Flekken,nl NED,GK,Brentford,31.0,1993.0,37,37,3275,36.4,0,2,2
185,Phil Foden,eng ENG,"MF,FW",Manchester  City,24.0,2000.0,28,20,1777,19.7,7,2,9
186,Wesley Fofana,fr FRA,DF,Chelsea,23.0,2000.0,14,14,1172,13.0,0,0,0
187,Carlos Forbs,pt POR,"MF,FW",Wolves,20.0,2004.0,10,1,239,2.7,0,0,0
188,Fraser Forster,eng ENG,GK,Tottenham,36.0,1988.0,7,7,630,7.0,0,0,0
189,Matheus FranÃ§a,br BRA,"MF,FW",Crystal  Palace,20.0,2004.0,4,0,55,0.6,1,0,1
190,Ryan Fraser,sct SCO,"FW,DF",Southampton,30.0,1994.0,8,4,306,3.4,0,0,0
191,Tyler Fredricson,eng ENG,DF,Manchester  Utd,19.0,2005.0,2,2,165,1.8,0,0,0
192,Niclas FÃ¼llkrug,de GER,FW,West Ham,31.0,1993.0,18,6,790,8.8,3,2,5
193,Cody Gakpo,nl NED,FW,Liverpool,25.0,1999.0,35,23,1935,21.5,10,4,14
194,Idrissa Gana Gueye,sn SEN,MF,Everton,34.0,1989.0,37,35,3063,34.0,0,3,3
195,AndrÃ©s GarcÃ­a,es ESP,"DF,MF",Aston Villa,21.0,2003.0,7,5,318,3.5,0,0,0
196,Alejandro Garnacho,ar ARG,"MF,FW",Manchester  Utd,20.0,2004.0,36,23,2199,24.4,6,2,8
197,James Garner,eng ENG,"MF,DF",Everton,23.0,2001.0,21,17,1594,17.7,0,1,1
198,Tyrique George,eng ENG,FW,Chelsea,18.0,2006.0,8,1,183,2.0,1,1,2
199,Morgan Gibbs-White,eng ENG,MF,Nott'ham  Forest,24.0,2000.0,34,34,2803,31.1,7,8,15
200,Billy Gilmour,sct SCO,MF,Brighton,23.0,2001.0,2,1,98,1.1,0,0,0
201,Ben Godfrey,eng ENG,DF,Ipswich Town,26.0,1998.0,3,2,159,1.8,0,0,0
202,Martial Godo,eng ENG,"FW,DF",Fulham,21.0,2003.0,2,0,24,0.3,0,0,0
203,Michael Golding,eng ENG,MF,Leicester  City,18.0,2006.0,1,0,1,0.0,0,0,0
204,JoÃ£o Gomes,br BRA,MF,Wolves,23.0,2001.0,36,35,2974,33.0,3,1,4
205,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21.0,2003.0,25,7,810,9.0,2,0,2
206,Toti Gomes,pt POR,DF,Wolves,25.0,1999.0,31,30,2614,29.0,0,1,1
207,Diego GÃ³mez,py PAR,MF,Brighton,21.0,2003.0,16,4,516,5.7,1,0,1
208,Joe Gomez,eng ENG,DF,Liverpool,27.0,1997.0,9,6,519,5.8,0,0,0
209,NicolÃ¡s GonzÃ¡lez,es ESP,MF,Manchester  City,22.0,2002.0,11,9,760,8.4,1,0,1
210,Anthony Gordon,eng ENG,"FW,MF",Newcastle  Utd,23.0,2001.0,34,28,2434,27.0,6,5,11
211,Ryan Gravenberch,nl NED,MF,Liverpool,22.0,2002.0,37,37,3160,35.1,0,4,4
212,Archie Gray,eng ENG,"DF,MF",Tottenham,18.0,2006.0,28,19,1751,19.5,0,0,0
213,Jack Grealish,eng ENG,"FW,MF",Manchester  City,28.0,1995.0,20,7,721,8.0,1,1,2
214,Jacob Greaves,eng ENG,DF,Ipswich Town,23.0,2000.0,25,25,2205,24.5,1,0,1
215,Brajan Gruda,de GER,"MF,FW",Brighton,20.0,2004.0,21,8,687,7.6,1,4,5
216,Albert GrÃ¸nbaek,dk DEN,"FW,MF",Southampton,23.0,2001.0,4,2,143,1.6,0,0,0
217,GonÃ§alo Guedes,pt POR,"MF,FW",Wolves,27.0,1996.0,29,10,995,11.1,2,4,6
218,Marc GuÃ©hi,eng ENG,DF,Crystal  Palace,24.0,2000.0,34,34,3059,34.0,3,2,5
219,Luis Guilherme,br BRA,"MF,FW",West Ham,18.0,2006.0,12,1,150,1.7,0,0,0
220,Bruno GuimarÃ£es,br BRA,MF,Newcastle  Utd,26.0,1997.0,38,38,3271,36.3,5,6,11
221,Marc Guiu,es ESP,FW,Chelsea,18.0,2006.0,3,0,73,0.8,0,0,0
222,Ä°lkay GÃ¼ndoÄan,de GER,MF,Manchester  City,33.0,1990.0,33,25,2223,24.7,1,6,7
223,Malo Gusto,fr FRA,DF,Chelsea,21.0,2003.0,32,19,1862,20.7,0,1,1
224,JoÅ¡ko Gvardiol,hr CRO,DF,Manchester  City,22.0,2002.0,37,36,3277,36.4,5,0,5
225,Erling Haaland,no NOR,FW,Manchester  City,24.0,2000.0,31,31,2736,30.4,22,3,25
226,Lewis Hall,eng ENG,DF,Newcastle  Utd,19.0,2004.0,27,24,2189,24.3,0,4,4
227,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22.0,2002.0,11,0,134,1.5,0,0,0
228,Marcus Harness,eng ENG,MF,Ipswich Town,28.0,1996.0,2,0,45,0.5,0,0,0
229,Jack Harrison,eng ENG,FW,Everton,27.0,1996.0,34,24,2076,23.1,1,0,1
230,Taylor Harwood-Bellis,eng ENG,DF,Southampton,22.0,2002.0,34,32,2825,31.4,1,0,1
231,Kai Havertz,de GER,"FW,MF",Arsenal,25.0,1999.0,23,21,1875,20.8,9,3,12
232,Ayden Heaven,eng ENG,DF,Manchester  Utd,17.0,2006.0,4,2,170,1.9,0,0,0
233,Jan Paul van Hecke,nl NED,DF,Brighton,24.0,2000.0,34,33,2958,32.9,1,1,2
234,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,28.0,1996.0,21,5,661,7.3,2,0,2
